pull_id,pull_no,title,body
414705939,8803,b'RavenDB-12598 adding test for changes-api with aggressive caching',b''
414621889,8802,b'RDBC-285 Add test for zero boosting',b''
414596355,8801,b'RavenDB-12956 Fixing NREs in 4.2 tests',b''
414573993,8800,b'4.1 to 4.2 merge',b''
414568417,8799,b'RDBC-282 test',b''
414513353,8798,b'RavenDB-12806 Added cancellation token when waiting for index lock. W\xe2\x80\xa6',b'\xe2\x80\xa6e should stop waiting for index replacement if database is being stopped\r\n\r\nHRINT-1058 Prevent deadlock during global server disposal due to index replacement (caused by Queries_will_work_during_index_replacements test)'
414511329,8797,b'RavenDB-12806 Added cancellation token when waiting for index lock. W\xe2\x80\xa6',b'\xe2\x80\xa6e should stop waiting for index replacement if database is being stopped\r\n\r\nHRINT-1058 Prevent deadlock during global server disposal due to index replacement (caused by Queries_will_work_during_index_replacements test)'
414500878,8796,b'RavenDB-12905 use counterGroups instead of Counters in studio. Added \xe2\x80\xa6',b'\xe2\x80\xa6ability to import legacy counters.'
414116012,8795,b'RavenDB-11999 BlittableJsonReaderObject.Clone better handling when Mo\xe2\x80\xa6',b'\xe2\x80\xa6difications != null'
414110420,8794,b'RDBC-285 Allow to define boost 0 from the client API',b''
414104286,8793,b'RavenDB-7291: Verified in dotnet 2.2.2 - https://github.com/dotnet/co\xe2\x80\xa6',b'\xe2\x80\xa6refx/pull/29971 is merged (KilledTooEarly test passes)'
